name,sum,count
"ООО ""ТЛК ""Дальтрансавто""                                                                                                                                                                                                                                       ",2670250.0,11
                                                                                                                                                                                                                                                               ,5294714952.84,12384
"Товарищество с ограниченной ответственностью ""Hegelmann Transporte"" (Хегельманн Транспорте)                                                                                                                                                                    ",10261075.49,24
"Общество с ограниченной ответственностью ""Фрут-Импэкс""                                                                                                                                                                                                         ",20522150.98,48
"частное транспортное унитарное предприятие ""Витмагистраль""                                                                                                                                                                                                     ",20522150.98,48
"Общество с ограниченной ответственностью ""Автоальянс""                                                                                                                                                                                                          ",30783226.47,72
"Автомобильное транспортное унитарное предприятие ""Автовнештранс""                                                                                                                                                                                               ",10261075.49,24
"Совместное общество с ограниченной ответственностью ""ВИПТРАНС-СПЕДИШН""                                                                                                                                                                                         ",41044301.96,96
"ООО ""ТК Автодеталь""                                                                                                                                                                                                                                            ",1261678.76,18
"Товарищество с ограниченной ответственностью ""ЕАТ""                                                                                                                                                                                                             ",10261075.49,24
"Акционерное общество ""Транко""                                                                                                                                                                                                                                  ",10261075.49,24
"Общество с ограниченной ответственностью ""БВТ-Транс""                                                                                                                                                                                                           ",30783226.47,72
"Совместное общество с ограниченной ответственностью ""Могилеввнештранс""                                                                                                                                                                                         ",10261075.49,24
"ТОО ""WEA-Transport"" (ВЕА-Транспорт)                                                                                                                                                                                                                            ",10261075.49,24
"Общество с ограниченной ответственностью ""АПОЛЛО ТРАНС""                                                                                                                                                                                                        ",20522150.98,48
"ЗАО ""Фирма ""МЕЖТОРГТРАНС""                                                                                                                                                                                                                                      ",1699250.0,7
"Транспортное частное унитарное предприятие ""Мегасила""                                                                                                                                                                                                          ",10261075.49,24
"Открытое акционерное общество ""Миноблавтотранс""                                                                                                                                                                                                                ",133393981.37,312
"Совместное общество с ограниченной ответственностью ""БРЕСТВНЕШТРАНС""                                                                                                                                                                                           ",20522150.98,48
"ОАО ""Сахалинское морское пароходство""                                                                                                                                                                                                                          ",10261075.49,24
"Совместное предприятие ""ТРАНЗИТ""  общество с ограниченной ответственностью                                                                                                                                                                                     ",10261075.49,24
"Общество с ограниченной ответственностью ""СКТ-Транс""                                                                                                                                                                                                           ",10261075.49,24
"Иностранное транспортно-торговое унитарное предприятие ""Фирма АУППЕРЛЕ Г.М.Б.Х.""                                                                                                                                                                               ",20522150.98,48
"Иностранное частное унитарное транспортно-экспедиционное предприятие""СИТИКАР"" компании""ВУЛЛЕР ЛИМИТЕД""                                                                                                                                                         ",30783226.47,72
"Общество с ограниченной ответственностью ""СтефЛайн""                                                                                                                                                                                                            ",112871830.39,264
"Белорусско-австрийское совместное предприятие ""Райзинг"" общество с ограниченной ответственностью                                                                                                                                                               ",51305377.45,120
"Открытое акционерное общество ""БобруйскАТЭП""                                                                                                                                                                                                                   ",112871830.39,264
"Совместное предприятие ""КУРС"" общество с ограниченной ответственностью                                                                                                                                                                                         ",20522150.98,48
"Открытое акционерное общество ""Автомобильный парк № 3 г. Могилева""                                                                                                                                                                                             ",30783226.47,72
"Совместное общество с ограниченной ответственностью ""Белитранс-Экспедиция""                                                                                                                                                                                     ",20522150.98,48
СП <Доминик> ООО                                                                                                                                                                                                                                               ,10261075.49,24
"Транспортное частное унитарное предприятие ""ТРАНСМОБИЛ""                                                                                                                                                                                                        ",10261075.49,24
"Совместное общество с ограниченной ответственностью ""Вил-Трэк""                                                                                                                                                                                                 ",41044301.96,96
"Cовместное общество с ограниченной ответственностью ""ВВС-Транс""                                                                                                                                                                                                ",10261075.49,24
"Частное унитарное транспортное предприятие ""Транс-Лайн-Брест""                                                                                                                                                                                                  ",143655056.86,336
"Общество с ограниченной ответственностью ""Талант""                                                                                                                                                                                                              ",10261075.49,24
"Общество с ограниченной ответственностью ""Алгари Камион""                                                                                                                                                                                                       ",20522150.98,48
